licensee,year,total_accepted_t,n_records,n_low_codes,disposal,other,recovery,recovery_rate
Kinsale Road Landfill - W0012,2023,237.84,2,1,0.0,237.84,0.0,
Kinsale Road Landfill - W0012,2024,279.3,2,1,0.0,279.3,0.0,
Kinsale Road Landfill - W0012,2025,250.26,2,1,0.0,250.26,0.0,
Knockharley Landfill - W0146,2022,22124.28,4,1,0.0,0.0,22124.28,1.0
Knockharley Landfill - W0146,2023,28602.2,9,2,680.6,0.0,27921.6,0.9762046276160575
Knockharley Landfill - W0146,2024,11975.8,6,1,0.0,0.0,11975.8,1.0
Knockharley Landfill - W0146,2025,62.1,2,2,7.6,0.0,54.5,0.8776167471819646
Kyletalesha Landfill - W0026,2021,117400.0,4,1,117400.0,0.0,0.0,0.0
Kyletalesha Landfill - W0026,2022,138644.2,6,1,138644.2,0.0,0.0,0.0
Kyletalesha Landfill - W0026,2023,127952.48,4,1,127952.48,0.0,0.0,0.0
Kyletalesha Landfill - W0026,2024,119799.76000000001,9,2,119780.92,18.84,0.0,0.0
Kyletalesha Landfill - W0026,2025,20297.199999999997,7,2,20273.98,23.22,0.0,0.0
Macroom Civic Amenity Site - W0142,2022,0.0,1,1,0.0,0.0,0.0,
Macroom Civic Amenity Site - W0142,2023,13.32,2,1,0.0,13.32,0.0,
Macroom Civic Amenity Site - W0142,2024,17.44,2,1,0.0,17.44,0.0,
Macroom Civic Amenity Site - W0142,2025,22.1,2,1,0.0,22.1,0.0,
Metal Processors Limited - P0401,2021,16468.0,2,1,0.0,0.0,16468.0,1.0
Metal Processors Limited - P0401,2022,14693.0,2,1,0.0,0.0,14693.0,1.0
Metal Processors Limited - P0401,2023,16384.0,2,1,0.0,0.0,16384.0,1.0
Metal Processors Limited - P0401,2024,15466.0,2,1,0.0,0.0,15466.0,1.0
Metal Processors Limited - P0401,2025,13436.62,2,1,0.0,0.0,13436.62,1.0
Midleton Quarry - W0307,2023,243851.42,2,1,0.0,0.0,243851.42,1.0
Midleton Quarry - W0307,2024,278293.0,2,1,0.0,0.0,278293.0,1.0
