licensee,year,total_accepted_t,n_records,n_low_codes,recovery_share,disposal_share,other_share,backfill_share,hazardous_share,recovery_rate
Galway Corporation Depot - W0166,2025,8.76,4.0,2.0,0.0,0.0,1.0,0.0,0.0,
Galway Metal Company Limited - P1006,2021,21844.750000000004,15.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0
Galway Metal Company Limited - P1006,2022,19900.95,13.0,5.0,0.9999999999999998,0.0,0.0,0.0,0.0,1.0
Galway Metal Company Limited - P1006,2023,20645.863,12.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0
Galway Metal Company Limited - P1006,2024,23399.399999999998,18.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0
Galway Metal Company Limited - P1006,2025,22887.3,15.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0
Garryhesta Pit - W0299,2021,43162.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Garryhesta Pit - W0299,2022,253960.03,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Garryhesta Pit - W0299,2023,281665.62,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Garryhesta Pit - W0299,2024,300000.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Garryhesta Pit - W0299,2025,276059.9,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Glanway Limited - P1015,2023,17274.8,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Glanway Limited - P1015,2024,11199.26,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Glanway Limited - P1015,2025,18318.34,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Gortadroma Landfill Site - W0017,2021,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Gortadroma Landfill Site - W0017,2022,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Gortadroma Landfill Site - W0017,2023,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Gortadroma Landfill Site - W0017,2024,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Gortadroma Landfill Site - W0017,2025,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Green Circular Economy Unlimited Company - W0205,2021,29283.53,26.0,8.0,0.9999009682234348,0.0,9.90317765651887e-05,0.0,0.0,1.0
Green Circular Economy Unlimited Company - W0205,2022,35244.998999999996,26.0,10.0,0.0,0.0,1.0000000000000002,0.0,0.0,
Green Circular Economy Unlimited Company - W0205,2023,29896.281,27.0,10.0,0.0,0.0,1.0,0.0,0.0,
Green Circular Economy Unlimited Company - W0205,2024,23105.795,26.0,10.0,0.0,0.0,1.0,0.0,0.0,
Green Circular Economy Unlimited Company - W0205,2025,19148.38,24.0,9.0,0.0,0.0,0.9999999999999998,0.0,0.0,
Hi-Volt Ireland Limited - W0267,2021,556.168,10.0,5.0,0.0,0.0,1.0,0.0,0.0,
Hi-Volt Ireland Limited - W0267,2022,446.476,10.0,5.0,0.0,0.0,1.0000000000000002,0.0,0.0,
Hi-Volt Ireland Limited - W0267,2023,517.408,10.0,5.0,0.0,0.0,1.0,0.0,0.0,
Hi-Volt Ireland Limited - W0267,2024,428.06199999999995,10.0,6.0,0.0,0.0,1.0000000000000002,0.0,0.0,
Huntstown Inert Waste Recovery Facility - W0277,2021,1499662.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Huntstown Inert Waste Recovery Facility - W0277,2022,1411192.48,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
